policy_id,insured_id,snapshot_date,policy_effective_date,policy_expiration_date,coverage_type,vehicle_count,vehicle_avg_age,driver_count,driver_avg_age,years_in_business,prior_year_mileage_000,business_type,state,prior_apd_claim_count,prior_al_claim_count,prior_loss_amount,deductible,coverage_limit_000,annual_premium,payment_frequency,risk_score_external,num_heavy_vehicles,late_payment_count,first_claim_reported_date,claim_paid_amount_current_period,claim_status_current_period,days_to_first_claim_report
POL-015732,INS-00626,2024-03-09,2023-09-25,2024-09-24,APD,7,3.2,8,57.3,1.0,206.9,Other,OH,0,0,0.0,5000,500,17678.13,Quarterly,98.71,1,2.0,,,,
POL-015733,INS-00502,2023-02-04,2022-12-21,2023-12-21,APD,4,8.6,5,47.2,26.2,117.6,Service,WA,0,0,0.0,5000,300,3821.46,Monthly,25.59,0,0.0,,,,
POL-015734,INS-00588,2024-06-07,2024-04-26,2025-04-26,APD,8,2.2,9,36.1,1.0,89.0,retail,NY,3,0,18980.99,5000,500,4743.88,Monthly,,2,0.0,,,,
POL-015735,INS-00064,2023-11-20,2023-07-20,2024-07-19,APD,11,4.2,6,34.4,8.0,402.9,Service,CA,2,3,76534.52,2500,100,4236.61,Monthly,93.42,5,1.0,,,,
POL-015736,INS-00357,2023-02-22,2022-11-06,2023-11-06,APD,6,1.9,5,22.6,15.0,91.4,Trucking,IL,0,1,10489.14,2500,1000,6686.27,Annual,41.19,2,0.0,,,,
POL-015737,INS-00069,2024-06-11,2024-04-25,2025-04-25,APD,13,9.0,5,34.5,2.5,221.0,RETAIL,NC,1,0,3007.03,500,500,5593.72,Monthly,72.97,4,1.0,,,,
POL-015738,INS-00474,2023-09-05,2023-05-31,2024-05-30,APD,3,4.6,4,45.9,2.3,42.1,other,PA,0,1,17660.09,500,1000,2563.75,Monthly,4.63,2,0.0,,,,
POL-015739,INS-00183,2023-09-15,2023-05-05,2024-05-04,APD,3,5.6,4,46.0,3.2,61.7,Service,OH,1,0,19329.14,250,500,5922.93,Quarterly,15.91,1,2.0,,,,
POL-015740,INS-00413,2023-07-28,2023-05-24,2024-05-23,APD,5,5.6,2,31.6,18.6,283.3,Trucking,OH,0,0,0.0,5000,500,4913.49,Monthly,47.86,2,1.0,,,,
POL-015741,INS-00310,2024-06-12,2024-03-22,2025-03-22,APD,11,9.3,5,31.8,1.0,687.3,Trucking,GA,2,0,73365.3,2500,500,10999.72,Monthly,88.64,3,0.0,,,,
POL-015742,INS-00368,2023-06-17,2023-04-26,2024-04-25,APD,8,7.5,4,31.7,1.3,,Retail,IL,1,0,42962.79,5000,300,13328.58,Quarterly,29.36,2,0.0,,,,
POL-015743,INS-00083,2024-04-19,2023-11-23,2024-11-22,APD,4,8.0,7,35.6,10.8,97.5,Trucking,AZ,1,0,22798.67,2500,100,7836.8,,94.68,1,0.0,,,,
POL-015744,INS-00040,2024-06-22,2024-05-31,2025-05-31,APD,6,0.5,2,47.7,3.2,166.5,Trucking,AZ,2,0,29398.65,1000,300,7148.44,Monthly,76.26,3,1.0,,,,
POL-015745,INS-00050,2023-05-28,2023-03-12,2024-03-11,APD,8,2.6,7,42.7,4.0,113.4,Retail,FL,0,0,0.0,1000,100,5737.14,Quarterly,90.71,1,3.0,,,,
POL-015746,INS-00705,2023-01-21,2022-11-06,2023-11-06,APD,6,4.1,8,48.3,16.0,188.9,Construction,OH,0,1,13585.08,2500,300,5257.94,Monthly,6.52,1,0.0,,,,
POL-015747,INS-00140,2023-05-06,2023-04-30,2024-04-29,APD,9,8.8,3,45.1,1.0,631.3,Retail,NY,2,1,,5000,1000,7121.2,Monthly,76.03,1,0.0,,,,
POL-015748,INS-00182,2024-05-02,2024-02-08,2025-02-07,APD,8,3.2,6,49.9,1.0,382.1,Retail,NC,1,0,7597.05,2500,100,5853.66,Annual,24.65,1,0.0,,,,
POL-015749,INS-00057,2023-12-30,2023-11-14,2024-11-13,APD,6,3.1,7,35.6,9.1,83.5,Rideshare,NC,0,0,0.0,500,100,2000.0,Monthly,48.06,3,1.0,,,,
POL-015750,INS-00332,2023-12-11,2023-10-26,2024-10-25,APD,7,6.6,5,37.9,7.2,158.3,SERVICE,OH,2,0,36017.73,1000,300,10951.03,Annual,54.58,2,0.0,,,,
POL-015751,INS-00573,2023-07-31,2023-05-21,2024-05-20,APD,15,4.5,8,37.6,5.6,265.0,Trucking,TX,2,0,99243.48,500,100,14163.06,Monthly,37.84,5,3.0,,,,
POL-015752,INS-00134,2023-09-29,2023-04-30,2024-04-29,APD,14,0.3,1,30.4,1.0,403.8,RETAIL,FL,2,2,56466.6,1000,500,9365.48,Annual,36.6,3,0.0,,,,
POL-015753,INS-00495,2023-09-30,2023-05-17,2024-05-16,APD,2,4.1,7,43.3,5.7,24.8,Trucking,WA,0,0,0.0,1000,1000,7695.83,Annual,41.85,0,4.0,,,,
POL-015754,INS-00608,2024-05-10,2024-03-04,2025-03-04,APD,11,4.0,3,42.7,4.3,301.2,Construction,AZ,0,0,0.0,1000,300,13145.6,Annual,99.25,1,0.0,,,,
POL-015755,INS-00313,2023-10-17,2023-08-12,2024-08-11,APD,8,7.6,9,28.8,1.6,397.8,service,FL,2,1,36398.38,2500,100,14264.32,Annual,9.95,1,0.0,,,,
POL-015756,INS-00168,2024-05-05,2023-11-15,2024-11-14,APD,12,5.3,5,25.3,19.6,211.4,Trucking,TX,2,0,6825.04,250,300,5867.88,Monthly,35.7,5,0.0,,,,
POL-015757,INS-00305,2024-06-17,2024-01-19,2025-01-18,APD,7,3.9,9,,3.0,207.6,Construction,CO,0,1,19054.09,5000,1000,10745.45,Annual,81.66,1,0.0,,,,
POL-015758,INS-00649,2024-05-09,2024-01-23,2025-01-22,APD,9,2.9,11,34.9,22.9,136.6,Retail,PA,2,0,9712.6,250,500,8290.2,Annual,44.46,1,0.0,,,,
POL-015759,INS-00701,2024-05-01,2024-01-26,2025-01-25,APD,10,2.0,4,37.7,2.9,213.1,TRUCKING,OH,2,3,225401.16,2500,300,13790.82,Annual,64.56,0,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015760,INS-00164,2023-05-01,2022-12-31,2023-12-31,APD,8,2.6,5,40.4,1.3,71.4,Construction,CA,1,0,8503.42,2500,100,21038.54,Monthly,97.25,1,1.0,,,,
POL-015761,INS-00518,2023-02-01,2022-09-21,2023-09-21,APD,7,4.6,6,36.2,5.5,205.3,Trucking,AZ,0,0,0.0,500,500,11321.06,,27.47,1,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015762,INS-00450,2024-06-12,2023-12-21,2024-12-20,APD,8,4.8,3,42.8,1.0,112.5,Service,TX,1,0,11117.24,500,100,6918.92,Annual,42.38,0,0.0,,,,
POL-015763,INS-00688,2023-04-25,2023-01-18,2024-01-18,APD,7,4.7,4,26.0,1.0,201.1,Trucking,FL,0,1,6195.12,500,100,3271.22,Quarterly,40.11,2,0.0,,,,
POL-015764,INS-00197,2023-03-12,2022-12-04,2023-12-04,APD,8,1.4,5,37.8,9.1,173.7,Service,GA,0,0,0.0,250,300,7975.56,Quarterly,6.02,2,1.0,,,,
POL-015765,INS-00656,2023-05-01,2023-02-20,2024-02-20,APD,10,4.4,6,25.1,3.7,155.2,service,OH,0,2,22626.63,2500,300,9548.51,Annual,25.12,2,0.0,,,,
POL-015766,INS-00322,2023-04-20,2022-11-12,2023-11-12,APD,11,3.8,4,42.1,1.4,42.7,Trucking,CA,3,2,18654.27,500,300,7564.9,Annual,66.12,1,0.0,,,,
POL-015767,INS-00653,2024-05-27,2024-05-04,2025-05-04,APD,10,5.0,6,,1.0,247.9,Retail,PA,0,0,0.0,1000,100,7757.75,Annual,67.89,2,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015768,INS-00595,2024-05-24,2024-05-15,2025-05-15,APD,12,6.5,9,23.9,4.2,601.2,Service,CO,1,0,38224.73,250,100,7336.28,Annual,32.48,4,0.0,,,,
POL-015769,INS-00358,2023-10-23,2023-10-04,2024-10-03,APD,5,9.7,4,29.2,7.2,185.6,Retail,WA,0,0,0.0,1000,300,7970.18,,48.9,1,0.0,,,,
POL-015770,INS-00214,2024-06-09,2024-03-10,2025-03-10,APD,6,5.9,7,23.9,1.8,172.0,Construction,NC,0,0,0.0,2500,500,5922.02,Quarterly,20.94,0,0.0,,,,
POL-015771,INS-00140,2024-01-01,2023-08-24,2024-08-23,APD,13,1.4,3,41.9,7.7,268.1,Trucking,AZ,1,1,3737.54,5000,300,9459.27,Quarterly,4.68,3,0.0,,,,
POL-015772,INS-00715,2023-02-21,2022-09-14,2023-09-14,APD,8,2.2,2,39.5,2.2,220.3,retail,CO,0,0,0.0,5000,100,9898.61,Monthly,77.0,1,0.0,,,,
POL-015773,INS-00070,2024-05-30,2024-04-05,2025-04-05,APD,7,4.4,3,40.2,17.8,208.4,Trucking,FL,0,0,0.0,5000,500,12127.11,Quarterly,11.21,2,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015774,INS-00562,2023-07-25,2023-04-06,2024-04-05,APD,6,3.6,9,37.1,7.0,115.0,Other,NY,0,0,0.0,5000,300,11216.05,Quarterly,95.64,0,2.0,,,,
POL-015775,INS-00204,2023-09-08,2023-07-07,2024-07-06,APD,7,4.6,5,35.0,5.8,127.6,Trucking,IL,0,0,,250,500,8766.98,Annual,69.27,1,0.0,,,,
POL-015776,INS-00405,2024-06-06,2024-02-27,2025-02-26,APD,9,9.7,7,55.9,14.2,336.2,Construction,IL,2,0,4300.32,1000,100,9277.91,Quarterly,76.86,2,2.0,,,,
POL-015777,INS-00166,2023-02-11,2022-09-06,2023-09-06,APD,7,6.6,1,29.4,6.2,225.8,Construction,CA,0,1,13107.35,5000,1000,5570.05,Quarterly,3.65,2,2.0,,,,
POL-015778,INS-00555,2023-11-05,2023-05-28,2024-05-27,APD,10,3.8,6,46.4,11.9,152.3,Trucking,CO,1,0,21009.86,5000,300,5887.23,Annual,80.35,2,0.0,,,,
POL-015779,INS-00508,2023-01-11,2022-09-18,2023-09-18,APD,7,2.8,9,45.9,1.7,216.1,Trucking,NY,0,1,8798.16,2500,300,8323.56,Monthly,86.49,0,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015780,INS-00137,2023-06-04,2023-05-16,2024-05-15,APD,14,2.6,5,42.1,1.2,245.3,Service,WA,0,3,19993.01,500,1000,13185.8,Annual,51.96,2,2.0,,,,
POL-015781,INS-00017,2023-06-09,2023-05-12,2024-05-11,APD,7,0.0,2,39.5,2.1,207.3,Service,TX,1,1,21964.98,250,500,12939.95,Monthly,79.13,1,0.0,,,,
POL-015782,INS-00368,2024-01-16,2024-01-01,2024-12-31,APD,6,4.4,4,37.7,7.0,237.8,Construction,PA,0,0,,250,300,5164.8,Annual,33.39,0,0.0,,,,
POL-015783,INS-00488,2024-04-11,2024-03-28,2025-03-28,APD,13,1.5,8,31.2,9.5,423.4,Construction,PA,0,1,16279.49,2500,1000,3100.12,Monthly,73.44,0,0.0,,,,
POL-015784,INS-00427,2023-06-04,2023-05-25,2024-05-24,APD,11,6.1,9,43.7,1.4,259.5,Trucking,WA,1,0,33531.04,500,500,10424.39,Quarterly,69.42,2,4.0,,,,
POL-015785,INS-00561,2023-01-05,2022-11-11,2023-11-11,APD,13,6.2,5,48.9,14.2,688.3,Trucking,CO,0,1,5313.78,5000,300,8003.86,Monthly,24.38,4,0.0,,,,
POL-015786,INS-00086,2023-03-25,2023-02-14,2024-02-14,APD,5,7.5,4,31.7,16.1,179.1,Retail,AZ,0,0,0.0,500,500,9493.32,Monthly,42.12,2,0.0,,,,
POL-015787,INS-00707,2023-12-24,2023-10-18,2024-10-17,APD,8,1.6,6,45.2,4.0,184.5,Trucking,TX,1,0,17125.49,250,100,6530.69,Quarterly,4.06,4,1.0,9999-01-01,-999.0,INVALID,-999.0
POL-015788,INS-00075,2023-04-10,2023-01-12,2024-01-12,APD,4,5.7,2,,3.7,83.6,Trucking,WA,0,0,0.0,500,1000,8355.91,Monthly,73.18,0,2.0,,,,
POL-015789,INS-00303,2024-01-26,2023-08-14,2024-08-13,APD,10,6.8,12,35.2,3.4,416.9,Trucking,AZ,1,1,8574.24,250,1000,18801.68,Monthly,29.37,1,0.0,,,,
POL-015790,INS-00571,2024-03-05,2023-10-25,2024-10-24,APD,7,6.2,10,36.8,6.9,111.5,Service,IL,0,0,0.0,2500,500,3961.57,Monthly,53.34,0,0.0,,,,
POL-015791,INS-00437,2024-01-26,2023-11-12,2024-11-11,APD,9,6.8,8,30.2,2.5,250.5,Trucking,CA,0,0,0.0,1000,300,6370.62,Quarterly,50.12,1,4.0,,,,
POL-015792,INS-00211,2023-07-16,2023-01-23,2024-01-23,APD,2,6.5,5,41.0,1.0,79.4,Trucking,GA,2,0,42608.15,250,300,11464.45,Monthly,92.49,1,0.0,,,,
POL-015793,INS-00135,2023-09-07,2023-05-12,2024-05-11,APD,9,4.3,7,26.7,2.3,254.0,Service,WA,2,0,4836.77,1000,300,6337.77,Monthly,44.92,3,,,,,
POL-015794,INS-00388,2023-03-21,2023-02-19,2024-02-19,APD,13,6.5,8,34.0,25.8,607.8,Construction,FL,2,0,16588.6,500,300,9145.26,Monthly,12.56,2,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015795,INS-00528,2024-03-25,2023-12-02,2024-12-01,APD,7,7.7,10,49.0,7.3,215.5,Trucking,GA,3,0,13437.53,1000,100,7117.33,Annual,8.27,4,0.0,,,,
POL-015796,INS-00541,2023-01-19,2022-10-30,2023-10-30,APD,14,2.6,9,46.3,34.2,260.6,Construction,PA,0,0,0.0,1000,500,9991.05,Monthly,98.12,3,3.0,,,,
POL-015797,INS-00007,2023-01-21,2022-09-13,2023-09-13,APD,15,3.5,9,,12.2,403.8,Trucking,FL,0,0,0.0,1000,100,15427.7,Quarterly,,3,0.0,,,,
POL-015798,INS-00596,2023-10-06,2023-10-03,2024-10-02,APD,6,3.0,2,46.5,22.0,174.9,Service,WA,0,0,0.0,2500,500,6897.57,Quarterly,48.26,1,1.0,,,,
POL-015799,INS-00561,2023-09-28,2023-05-20,2024-05-19,APD,13,4.1,5,43.1,1.0,1008.9,Service,PA,2,1,252323.21,250,300,9474.0,Quarterly,38.5,4,1.0,9999-01-01,-999.0,INVALID,-999.0
POL-015800,INS-00500,2023-04-15,2023-04-06,2024-04-05,APD,8,0.8,5,32.1,1.0,231.7,RETAIL,CO,1,0,9023.05,5000,300,7858.09,,29.23,1,3.0,,,,
POL-015801,INS-00624,2023-03-30,2023-02-16,2024-02-16,APD,7,5.7,2,51.5,5.0,113.3,Service,FL,0,0,0.0,250,1000,11412.66,Monthly,84.68,0,2.0,,,,
POL-015802,INS-00016,2023-03-09,2022-09-19,2023-09-19,APD,12,3.4,9,30.5,1.3,82.4,Service,NC,0,0,0.0,1000,300,10520.3,Quarterly,91.05,2,0.0,,,,
POL-015803,INS-00559,2024-01-28,2024-01-17,2025-01-16,APD,11,2.9,3,41.8,22.9,368.6,Construction,CA,2,0,63838.72,250,500,15628.88,Annual,71.48,3,,9999-01-01,-999.0,INVALID,-999.0
POL-015804,INS-00238,2023-07-04,2023-06-17,2024-06-16,APD,7,4.8,6,57.8,1.2,227.5,Construction,GA,0,0,,5000,100,3213.57,Annual,23.91,1,0.0,,,,
POL-015805,INS-00556,2023-05-19,2022-12-08,2023-12-08,APD,11,4.7,3,41.3,1.0,518.7,RETAIL,FL,0,1,6001.85,250,500,4684.14,Monthly,47.03,0,2.0,,,,
POL-015806,INS-00039,2023-04-05,2022-10-22,2023-10-22,APD,10,6.0,5,39.4,1.5,,Service,TX,0,0,,500,100,4038.26,Quarterly,54.56,2,,,,,
POL-015807,INS-00659,2024-05-27,2024-02-09,2025-02-08,APD,11,4.5,5,32.9,18.5,704.5,Construction,OH,0,1,6592.35,500,500,11290.05,Monthly,35.96,5,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015808,INS-00238,2024-06-13,2024-03-07,2025-03-07,APD,13,5.3,9,44.6,1.4,868.3,Construction,IL,1,1,3240.47,250,300,5758.75,Monthly,8.02,3,3.0,,,,
POL-015809,INS-00429,2024-04-04,2024-02-29,2025-02-28,APD,7,5.1,2,42.2,2.8,290.9,Construction,FL,1,0,1515.73,1000,100,3619.73,Annual,81.24,3,4.0,,,,
POL-015810,INS-00209,2023-08-06,2023-06-17,2024-06-16,APD,10,6.9,7,39.9,31.3,,Retail,IL,0,0,0.0,250,100,3291.2,Quarterly,2.49,0,0.0,,,,
POL-015811,INS-00223,2024-06-27,2024-03-31,2025-03-31,APD,8,7.8,8,37.5,12.8,357.5,CONSTRUCTION,PA,1,0,3096.77,500,300,14120.8,Annual,83.78,1,0.0,,,,
POL-015812,INS-00529,2023-12-27,2023-12-26,2024-12-25,APD,7,6.9,5,43.4,4.8,183.2,Construction,CA,0,3,,1000,500,8556.17,Monthly,10.63,3,1.0,,,,
POL-015813,INS-00578,2023-11-13,2023-10-24,2024-10-23,APD,9,4.3,4,47.6,3.4,195.8,Trucking,GA,0,0,0.0,500,100,4797.95,Quarterly,27.95,0,2.0,,,,
POL-015814,INS-00002,2023-06-14,2023-02-25,2024-02-25,APD,8,3.1,4,45.4,2.0,261.2,Trucking,OH,1,0,8925.06,5000,300,3397.64,Monthly,99.34,0,1.0,,,,
POL-015815,INS-00029,2024-02-09,2023-09-15,2024-09-14,APD,7,8.5,5,,1.0,138.2,Trucking,CA,1,0,13481.2,5000,100,5446.06,Monthly,71.84,1,1.0,,,,
POL-015816,INS-00223,2024-05-24,2023-12-14,2024-12-13,APD,8,2.2,7,29.1,3.1,162.4,Construction,NY,1,0,17986.9,2500,100,14245.77,Quarterly,65.77,1,3.0,,,,
POL-015817,INS-00509,2024-02-14,2023-09-14,2024-09-13,APD,9,9.2,5,28.1,14.6,313.2,service,NC,1,1,40585.52,5000,500,17725.79,Monthly,24.33,1,0.0,,,,
POL-015818,INS-00515,2024-06-20,2024-03-26,2025-03-26,APD,6,6.7,9,49.1,9.3,170.4,Trucking,AZ,1,0,21104.78,5000,100,2441.23,Monthly,17.56,0,1.0,,,,
POL-015819,INS-00110,2023-06-20,2023-06-05,2024-06-04,APD,6,2.0,3,34.2,4.5,549.1,Trucking,PA,0,0,0.0,5000,100,8537.31,Annual,89.06,1,1.0,,,,
POL-015820,INS-00337,2023-05-27,2023-03-08,2024-03-07,APD,10,4.8,6,,1.4,300.8,Construction,GA,0,0,0.0,5000,300,8734.0,Quarterly,55.24,1,,,,,
POL-015821,INS-00462,2024-02-23,2023-11-26,2024-11-25,APD,6,4.9,9,46.8,2.8,225.1,Retail,CO,0,0,0.0,500,500,2777.43,Monthly,47.84,1,1.0,,,,
POL-015822,INS-00275,2024-04-29,2024-01-12,2025-01-11,APD,11,6.2,5,29.4,5.2,,construction,OH,1,0,20804.03,250,300,6112.73,Annual,90.35,4,1.0,,,,
POL-015823,INS-00691,2023-04-21,2023-03-01,2024-02-29,APD,10,5.5,6,44.9,1.0,,Trucking,TX,3,0,56128.22,5000,100,12700.72,Monthly,16.59,2,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015824,INS-00199,2023-02-18,2022-09-19,2023-09-19,APD,10,7.3,6,46.2,5.7,300.5,Rideshare,OH,1,0,11946.2,250,300,14883.64,Quarterly,48.23,2,1.0,,,,
POL-015825,INS-00067,2023-08-09,2023-05-14,2024-05-13,APD,9,2.6,8,41.1,1.0,279.5,RETAIL,AZ,3,2,16717.64,500,300,10091.21,Monthly,70.23,2,0.0,,,,
POL-015826,INS-00741,2024-03-19,2024-01-20,2025-01-19,APD,9,6.6,4,39.2,16.3,305.3,Retail,WA,0,1,13852.27,5000,500,9904.44,Monthly,1.65,1,,,,,
POL-015827,INS-00411,2023-02-17,2022-10-24,2023-10-24,APD,11,5.6,4,47.6,9.7,224.5,Trucking,TX,1,1,18163.65,250,100,12174.66,Monthly,43.67,2,0.0,,,,
POL-015828,INS-00405,2024-02-27,2023-09-21,2024-09-20,APD,8,8.3,5,39.1,3.4,142.4,Construction,TX,1,0,11172.07,2500,100,5219.6,,51.33,2,0.0,,,,
POL-015829,INS-00494,2024-06-06,2024-06-03,2025-06-03,APD,8,8.6,8,37.4,3.5,110.9,Construction,IL,2,0,29779.28,250,500,5764.96,Annual,56.89,3,1.0,,,,
POL-015830,INS-00356,2023-10-29,2023-08-28,2024-08-27,APD,9,7.2,6,37.8,10.9,289.2,Retail,GA,0,0,0.0,1000,300,5099.41,Quarterly,46.71,2,1.0,,,,
POL-015831,INS-00451,2023-12-16,2023-09-19,2024-09-18,APD,13,8.6,5,22.2,4.4,401.5,Service,TX,0,0,0.0,1000,100,11824.0,Annual,45.59,1,0.0,,,,
POL-015832,INS-00383,2023-02-15,2022-09-13,2023-09-13,APD,3,6.3,9,52.3,3.2,32.9,Retail,TX,1,0,,250,300,8615.46,Annual,17.49,1,0.0,,,,
POL-015833,INS-00478,2023-05-11,2023-01-20,2024-01-20,APD,6,6.1,5,42.2,4.2,125.3,Trucking,TX,0,0,0.0,1000,500,7592.53,Annual,76.26,1,0.0,,,,
POL-015834,INS-00202,2023-03-05,2023-01-24,2024-01-24,APD,7,0.2,4,34.8,9.3,364.6,Service,CA,2,0,25886.3,1000,1000,22391.66,Annual,,1,0.0,,,,
POL-015835,INS-00426,2023-12-07,2023-08-24,2024-08-23,APD,2,4.8,3,47.1,8.5,77.1,Trucking,PA,0,0,0.0,500,500,7806.66,Quarterly,11.73,0,2.0,,,,
POL-015836,INS-00322,2023-09-01,2023-06-26,2024-06-25,APD,9,1.5,8,40.5,6.7,132.3,Retail,GA,0,2,98931.2,2500,100,21823.19,Annual,29.75,2,0.0,,,,
POL-015837,INS-00673,2024-06-14,2024-05-19,2025-05-19,APD,8,6.8,3,,11.1,119.6,Trucking,AZ,1,0,15019.48,1000,300,10268.34,Annual,71.44,3,2.0,,,,
POL-015838,INS-00681,2023-01-18,2022-08-28,2023-08-28,APD,12,7.5,2,43.4,2.1,261.5,Service,CO,2,1,59126.07,500,100,13991.92,Annual,53.69,3,1.0,9999-01-01,-999.0,INVALID,-999.0
POL-015839,INS-00324,2024-02-27,2024-02-27,2025-02-26,APD,8,0.4,7,34.8,6.2,337.1,Trucking,GA,0,1,11790.77,250,100,8811.14,Annual,32.62,1,0.0,,,,
POL-015840,INS-00200,2024-03-17,2024-01-31,2025-01-30,APD,13,5.2,4,35.2,7.2,380.9,Retail,CA,0,0,0.0,1000,300,6239.95,Annual,56.99,4,1.0,,,,
POL-015841,INS-00609,2023-05-03,2023-01-23,2024-01-23,APD,9,10.7,5,45.2,6.0,315.6,Trucking,IL,0,0,0.0,5000,300,10526.04,Quarterly,14.73,2,0.0,,,,
POL-015842,INS-00493,2023-04-14,2023-03-08,2024-03-07,APD,6,5.6,2,33.2,12.6,246.0,Service,PA,0,1,10816.73,5000,300,12618.21,Monthly,7.51,2,0.0,,,,
POL-015843,INS-00647,2023-08-04,2023-06-16,2024-06-15,APD,9,4.2,13,23.7,2.4,244.6,Other,PA,1,0,4808.9,500,500,6490.26,Quarterly,2.3,1,1.0,,,,
POL-015844,INS-00112,2023-07-27,2023-03-01,2024-02-29,APD,6,2.5,2,44.3,37.7,130.5,Retail,WA,0,0,0.0,250,500,4727.96,Annual,7.97,1,2.0,,,,
POL-015845,INS-00646,2023-07-29,2023-05-04,2024-05-03,APD,7,7.9,7,42.9,12.5,122.4,Retail,PA,0,0,0.0,1000,100,8697.59,Quarterly,23.37,2,1.0,,,,
POL-015846,INS-00571,2023-03-24,2023-01-08,2024-01-08,APD,9,5.7,8,25.3,4.5,341.7,Trucking,FL,1,0,,5000,1000,12366.11,Quarterly,18.0,4,1.0,,,,
POL-015847,INS-00507,2024-04-25,2024-01-05,2025-01-04,APD,14,5.0,1,50.9,15.9,431.4,Retail,TX,4,0,105612.2,1000,1000,9434.82,Monthly,98.69,3,3.0,,,,
POL-015848,INS-00520,2023-01-15,2022-11-26,2023-11-26,APD,9,3.2,6,34.2,19.3,217.8,CONSTRUCTION,AZ,0,0,,1000,1000,14568.68,Annual,2.88,1,2.0,,,,
POL-015849,INS-00496,2024-04-28,2023-12-12,2024-12-11,APD,18,3.6,10,53.3,1.1,327.6,Construction,TX,3,1,11323.39,500,500,6008.35,,37.63,1,0.0,,,,
POL-015850,INS-00315,2023-03-08,2023-02-28,2024-02-28,APD,10,7.6,4,,9.0,542.3,RETAIL,OH,1,0,22010.69,5000,300,4137.69,Monthly,15.57,2,0.0,,,,
POL-015851,INS-00067,2024-06-27,2024-03-04,2025-03-04,APD,12,4.2,5,45.7,9.6,687.3,Service,CA,2,1,120600.3,250,100,3023.36,Monthly,92.31,1,4.0,,,,
POL-015852,INS-00381,2023-07-07,2023-02-11,2024-02-11,APD,6,4.1,5,34.7,8.0,73.8,Construction,NC,0,1,5896.79,1000,300,7728.33,Monthly,39.76,0,2.0,,,,
POL-015853,INS-00101,2023-07-03,2023-01-23,2024-01-23,APD,7,10.0,7,59.0,26.4,109.5,Trucking,CA,1,0,,1000,300,16355.75,Annual,69.67,1,0.0,,,,
POL-015854,INS-00174,2023-12-19,2023-12-16,2024-12-15,APD,10,3.8,4,39.9,2.7,307.1,Rideshare,PA,0,1,19448.66,1000,500,9033.23,Monthly,88.23,1,0.0,9999-01-01,-999.0,INVALID,-999.0
POL-015855,INS-00181,2024-06-15,2024-02-18,2025-02-17,APD,7,1.9,5,37.1,7.1,198.9,TRUCKING,FL,0,0,0.0,2500,300,7833.28,Monthly,11.36,0,,,,,
POL-015856,INS-00074,2024-04-27,2023-11-11,2024-11-10,APD,7,5.0,3,33.0,15.7,228.7,Retail,FL,1,0,14752.85,500,1000,4740.16,Quarterly,83.75,1,0.0,,,,
POL-015857,INS-00713,2023-06-14,2023-04-06,2024-04-05,APD,6,7.5,2,37.5,1.0,,service,OH,1,0,28165.74,1000,300,11566.75,Annual,51.82,1,0.0,,,,
POL-015858,INS-00432,2024-01-06,2023-08-17,2024-08-16,APD,12,5.2,8,27.0,3.7,389.9,Trucking,PA,0,0,0.0,250,500,16861.56,Annual,,1,0.0,,,,
POL-015859,INS-00448,2023-05-27,2023-04-13,2024-04-12,APD,8,3.6,7,35.0,1.7,264.6,Trucking,NY,4,0,31005.77,5000,1000,6634.94,Quarterly,52.27,2,0.0,,,,
POL-015860,INS-00293,2023-01-01,2022-08-09,2023-08-09,APD,10,5.6,8,46.4,15.5,115.9,Trucking,GA,3,1,45142.9,500,500,5606.95,Annual,22.3,2,3.0,,,,
POL-015861,INS-00140,2023-11-23,2023-07-30,2024-07-29,APD,8,2.8,4,44.3,3.0,189.0,Trucking,NC,1,2,24894.85,250,100,4347.44,Annual,59.6,0,1.0,,,,
POL-015862,INS-00683,2023-03-27,2022-11-15,2023-11-15,APD,11,2.5,7,24.0,19.7,326.2,Trucking,NY,0,0,0.0,1000,100,6722.15,Monthly,82.11,2,1.0,,,,
POL-015863,INS-00421,2024-04-25,2024-03-16,2025-03-16,APD,5,6.1,11,45.1,3.1,409.5,construction,FL,0,1,,1000,300,5299.49,Annual,63.52,1,2.0,9999-01-01,-999.0,INVALID,-999.0
POL-015864,INS-00385,2024-01-30,2023-12-19,2024-12-18,APD,12,2.4,6,28.3,3.8,436.5,service,WA,0,1,15160.94,500,500,7759.04,Monthly,66.64,2,1.0,,,,
POL-015865,INS-00516,2024-02-04,2023-12-15,2024-12-14,APD,9,2.3,6,47.5,1.2,249.5,Service,TX,1,2,9630.75,250,300,15709.88,Annual,78.35,2,4.0,,,,
POL-015866,INS-00492,2024-02-18,2023-12-25,2024-12-24,APD,8,3.7,4,45.3,1.8,155.9,Service,TX,0,1,3899.37,250,100,9181.73,Annual,40.28,2,0.0,,,,
