policy_id,insured_id,snapshot_date,policy_effective_date,policy_expiration_date,coverage_type,vehicle_count,vehicle_avg_age,driver_count,driver_avg_age,years_in_business,prior_year_mileage_000,business_type,state,prior_apd_claim_count,prior_al_claim_count,prior_loss_amount,deductible,coverage_limit_000,annual_premium,payment_frequency,risk_score_external,has_safety_program,num_heavy_vehicles,late_payment_count,claim_count,total_loss_amount,first_claim_reported_date,claim_paid_amount_current_period,claim_status_current_period,days_to_first_claim_report
POL-011317,INS-01599,2021-09-18,2021-06-14,2022-06-14,AL,9,6.9,6,44.2,13.7,378.8,TRUCKING,CA,3,0,59574.87,500,500,7631.56,Annual,36.2,1,2,2.0,0,0.0,,0.0,No Claim,
POL-000587,INS-01546,2022-01-24,2021-09-25,2022-09-25,APD,9,4.7,2,33.1,7.5,510.7,Retail,FL,0,1,4298.81,5000,300,7047.84,Annual,19.71,0,2,0.0,0,0.0,,0.0,No Claim,
POL-003018,INS-02042,2020-08-23,2020-06-08,2021-06-08,APD,4,4.8,6,48.0,1.0,67.2,Trucking,GA,0,0,0.0,250,300,10299.76,Annual,82.48,1,0,2.0,0,0.0,,0.0,No Claim,
POL-010846,INS-00800,2020-06-07,2020-03-03,2021-03-03,AL,3,3.8,6,,9.1,26.7,service,CA,0,0,0.0,250,300,8026.76,Quarterly,68.85,0,0,1.0,0,0.0,,0.0,No Claim,
POL-001576,INS-01519,2020-12-14,2020-07-12,2021-07-12,APD,5,3.0,3,34.7,10.7,229.5,SERVICE,WA,1,1,32130.2,5000,500,7698.34,Monthly,80.3,1,1,0.0,0,0.0,,0.0,No Claim,
POL-013226,INS-03703,2022-11-05,2022-09-01,2023-09-01,AL,5,3.6,5,36.6,7.5,164.2,CONSTRUCTION,GA,0,0,,500,100,7249.14,Annual,,1,2,1.0,0,0.0,,0.0,No Claim,
POL-013515,INS-03688,2021-01-22,2020-12-24,2021-12-24,AL,12,6.2,5,41.7,2.7,321.8,Other,GA,0,1,14374.28,250,1000,16280.85,Annual,3.98,1,3,3.0,0,0.0,,0.0,No Claim,
POL-011765,INS-00966,2021-03-13,2020-12-17,2021-12-17,AL,7,5.9,3,21.6,10.0,193.7,Service,PA,0,0,0.0,5000,300,22363.4,Monthly,41.96,1,2,0.0,0,0.0,,0.0,No Claim,
POL-007200,INS-02131,2021-04-24,2021-04-01,2022-04-01,APD,5,9.7,3,46.1,5.7,118.2,Service,TX,1,0,16519.71,500,100,17052.82,Monthly,56.37,1,1,1.0,0,0.0,,0.0,No Claim,
POL-012503,INS-00574,2020-12-04,2020-09-05,2021-09-05,AL,6,8.5,8,22.9,17.3,85.8,CONSTRUCTION,NC,0,0,0.0,1000,500,14152.44,Quarterly,74.37,1,0,3.0,0,0.0,,0.0,No Claim,
POL-013383,INS-01027,2022-07-17,2022-02-20,2023-02-20,AL,15,5.3,5,37.9,2.5,142.1,Retail,FL,4,0,304149.84,250,500,8735.9,Monthly,63.58,1,4,0.0,0,0.0,,0.0,No Claim,
POL-010211,INS-02807,2022-03-21,2022-01-22,2023-01-22,AL,7,1.7,6,32.7,5.7,40.6,Construction,FL,0,1,11821.25,2500,300,40000.0,Monthly,5.02,0,3,1.0,0,0.0,,0.0,No Claim,
POL-004192,INS-02024,2021-01-10,2020-08-03,2021-08-03,APD,7,2.3,8,46.1,1.0,440.2,Retail,IL,2,1,10883.2,2500,500,7670.91,Annual,55.16,1,1,1.0,1,23377.83,2021-03-06,21934.71,Closed,55.0
POL-005169,INS-00644,2021-01-21,2020-08-22,2021-08-22,APD,3,0.0,7,38.4,5.0,82.1,trucking,WA,2,0,8710.02,1000,100,12608.01,Quarterly,38.53,0,0,3.0,0,0.0,,0.0,No Claim,
POL-010551,INS-00130,2020-04-20,2019-12-25,2020-12-24,AL,8,5.2,9,38.3,1.5,73.6,SERVICE,CO,0,0,0.0,250,1000,27627.68,Annual,0.96,0,2,0.0,0,0.0,,0.0,No Claim,
POL-010547,INS-01846,2022-10-04,2022-04-18,2023-04-18,AL,12,6.7,7,54.2,1.0,356.4,RETAIL,NC,0,0,0.0,250,100,7235.14,Annual,8.93,0,2,1.0,0,0.0,,0.0,No Claim,
POL-013307,INS-00160,2022-02-22,2021-12-23,2022-12-23,AL,3,9.8,9,38.7,11.3,29.2,service,PA,0,0,0.0,250,500,13137.56,Monthly,99.63,0,1,1.0,0,0.0,,0.0,No Claim,
POL-013105,INS-02565,2021-01-13,2020-08-16,2021-08-16,AL,10,3.3,1,50.7,12.1,273.6,construction,FL,0,1,14511.09,1000,500,8310.6,Quarterly,69.94,1,2,2.0,0,0.0,,0.0,No Claim,
POL-009922,INS-00392,2021-05-25,2021-04-04,2022-04-04,AL,9,4.3,6,43.9,1.0,504.4,Construction,CO,0,1,11500.15,500,500,11240.59,Annual,40.54,0,3,0.0,0,0.0,,0.0,No Claim,
POL-006376,INS-01070,2022-08-04,2022-04-25,2023-04-25,APD,6,3.2,2,51.2,3.1,186.3,Construction,NC,0,0,,5000,500,12773.98,Annual,37.22,1,2,0.0,0,0.0,,0.0,No Claim,
POL-010293,INS-02411,2020-03-13,2019-12-22,2020-12-21,AL,5,3.4,7,21.0,1.0,149.2,Trucking,AZ,1,0,,1000,1000,16718.9,Annual,31.77,0,3,1.0,0,0.0,,0.0,No Claim,
POL-007734,INS-02810,2021-06-11,2021-04-16,2022-04-16,AL,8,3.3,6,43.4,15.5,132.7,Construction,TX,0,0,0.0,500,300,30276.22,Annual,20.1,1,1,1.0,0,0.0,,0.0,No Claim,
POL-009120,INS-00628,2022-05-11,2022-03-29,2023-03-29,AL,10,4.5,10,38.5,7.5,134.0,SERVICE,NC,0,0,0.0,5000,100,10133.66,Annual,1.63,0,2,0.0,0,0.0,,0.0,No Claim,
POL-002460,INS-02929,2020-03-06,2019-09-24,2020-09-23,APD,5,11.6,4,44.7,15.1,180.1,Construction,OH,0,0,0.0,500,100,25000.0,Monthly,3.86,1,2,4.0,1,12228.08,2020-04-18,11110.42,Open,43.0
POL-006693,INS-03164,2022-06-26,2022-03-07,2023-03-07,APD,9,8.0,7,37.9,1.1,311.7,SERVICE,CO,1,1,9269.85,250,1000,9631.99,Annual,16.62,0,5,3.0,0,0.0,,0.0,No Claim,
POL-010598,INS-00832,2022-01-14,2021-12-31,2022-12-31,AL,9,2.8,7,34.1,6.0,332.4,OTHER,AZ,3,0,22707.18,5000,500,20071.9,Quarterly,98.8,1,2,1.0,0,0.0,,0.0,No Claim,
POL-002797,INS-00117,2022-08-12,2022-04-29,2023-04-29,APD,11,5.5,7,47.5,1.0,234.1,Trucking,PA,1,0,4435.47,2500,500,7205.1,Monthly,19.08,1,2,0.0,0,0.0,,0.0,No Claim,
POL-006706,INS-01951,2020-02-12,2019-11-02,2020-11-01,APD,7,7.7,3,40.2,4.9,225.3,Construction,WA,2,1,10117.22,5000,500,25000.0,Monthly,15.75,1,1,1.0,0,0.0,,0.0,No Claim,
POL-010478,INS-01792,2021-12-19,2021-08-19,2022-08-19,AL,13,6.8,6,,13.4,242.0,Service,TX,0,0,0.0,2500,500,19674.88,Monthly,66.94,1,2,1.0,0,0.0,,0.0,No Claim,
POL-003478,INS-02712,2021-08-04,2021-05-22,2022-05-22,APD,9,6.1,6,46.3,5.7,84.9,trucking,OH,2,0,10882.6,250,100,5604.61,Monthly,86.9,1,2,0.0,0,0.0,,0.0,No Claim,
POL-000994,INS-02585,2021-04-17,2020-11-15,2021-11-15,APD,7,4.7,6,43.7,1.9,84.1,Retail,NY,0,0,0.0,500,300,12730.44,Monthly,24.2,1,1,1.0,0,0.0,,0.0,No Claim,
POL-002086,INS-02434,2021-12-18,2021-10-30,2022-10-30,APD,5,7.5,4,39.4,22.3,217.4,retail,AZ,1,0,6896.28,500,500,9824.53,Monthly,90.36,0,1,1.0,0,0.0,,0.0,No Claim,
POL-003208,INS-02377,2022-06-10,2022-02-13,2023-02-13,APD,6,1.4,6,55.1,5.5,248.9,service,CA,3,0,91714.36,5000,500,7588.78,Annual,83.41,0,1,0.0,0,0.0,,0.0,No Claim,
POL-013898,INS-01685,2020-09-08,2020-08-29,2021-08-29,AL,6,7.7,5,38.3,1.0,102.5,Construction,TX,0,0,0.0,5000,100,17444.45,Monthly,71.49,1,0,0.0,0,0.0,,0.0,No Claim,
POL-014397,INS-02090,2021-05-28,2021-05-16,2022-05-16,AL,8,6.3,9,36.7,23.0,,retail,OH,0,0,0.0,5000,300,9799.69,Annual,4.26,1,3,0.0,0,0.0,,0.0,No Claim,
POL-002936,INS-00489,2020-09-07,2020-09-01,2021-09-01,APD,7,7.7,7,37.4,3.8,316.2,Trucking,PA,2,1,21834.73,2500,1000,18858.47,Monthly,41.91,0,2,0.0,0,0.0,,0.0,No Claim,
POL-009983,INS-02839,2021-10-17,2021-06-01,2022-06-01,AL,6,1.5,6,37.1,1.0,113.4,TRUCKING,FL,0,0,0.0,500,300,5452.67,Monthly,30.52,1,0,0.0,0,0.0,,0.0,No Claim,
POL-009956,INS-02321,2020-12-09,2020-08-14,2021-08-14,AL,11,1.0,7,46.3,2.0,123.4,service,NC,0,1,7062.18,500,500,24297.6,Quarterly,27.23,0,3,0.0,0,0.0,,0.0,No Claim,
POL-005293,INS-02727,2021-01-06,2020-10-16,2021-10-16,APD,9,9.0,8,48.2,5.1,198.4,Trucking,WA,0,0,0.0,2500,500,5568.25,Annual,16.47,1,0,1.0,0,0.0,,0.0,No Claim,
POL-000812,INS-03514,2022-08-20,2022-08-19,2023-08-19,APD,12,3.8,4,38.1,4.8,354.6,retail,PA,0,0,0.0,2500,1000,3909.92,Quarterly,23.29,0,2,0.0,0,0.0,,0.0,No Claim,
POL-014207,INS-02469,2022-09-10,2022-05-02,2023-05-02,AL,4,6.1,5,39.6,1.2,56.0,Retail,CO,2,0,55044.16,500,100,7393.17,Quarterly,63.81,1,0,1.0,0,0.0,,0.0,No Claim,
POL-007201,INS-02047,2022-01-15,2022-01-01,2023-01-01,APD,8,8.2,3,39.0,40.0,353.7,Retail,PA,0,0,0.0,5000,300,16451.5,Annual,54.31,0,1,1.0,0,0.0,,0.0,No Claim,
POL-013866,INS-02721,2021-08-24,2021-04-11,2022-04-11,AL,6,5.4,8,53.3,2.2,71.8,Service,IL,0,2,26245.86,500,300,7534.97,Monthly,6.43,0,3,0.0,0,0.0,,0.0,No Claim,
POL-002555,INS-00295,2022-12-11,2022-09-25,2023-09-25,APD,5,5.3,4,32.4,1.0,,Retail,FL,0,0,0.0,5000,1000,4568.0,Monthly,99.83,0,1,3.0,1,22788.6,2023-01-18,14856.16,Open,38.0
POL-008380,INS-00209,2020-10-31,2020-05-15,2021-05-15,AL,3,8.3,5,56.8,4.7,33.0,Trucking,TX,1,0,6413.23,250,300,11196.23,Monthly,,1,0,4.0,1,9360.0,2020-12-15,8409.04,Closed,45.0
POL-001581,INS-00193,2020-11-20,2020-06-08,2021-06-08,APD,12,0.8,5,46.0,2.1,336.5,Service,GA,1,0,12913.07,250,100,17098.88,Monthly,69.51,0,2,0.0,1,13951.92,2021-01-02,12882.58,Open,43.0
POL-007607,INS-00236,2021-07-25,2021-03-12,2022-03-12,AL,5,2.3,6,35.7,17.3,57.5,construction,CO,2,0,,500,500,16704.95,Annual,46.79,0,2,0.0,0,0.0,,0.0,No Claim,
POL-009400,INS-02594,2021-09-14,2021-06-02,2022-06-02,AL,3,4.5,1,33.5,14.6,99.1,Retail,WA,0,0,0.0,1000,500,11546.23,Annual,36.39,1,1,2.0,0,0.0,,0.0,No Claim,
POL-013509,INS-02319,2020-09-18,2020-08-04,2021-08-04,AL,9,8.4,2,46.6,6.3,105.0,Trucking,AZ,1,0,7993.32,250,1000,13932.96,Quarterly,96.8,1,3,1.0,1,242733.11,2020-10-27,230140.22,Open,39.0
POL-010899,INS-02219,2020-09-02,2020-07-29,2021-07-29,AL,8,1.8,4,33.0,6.8,161.5,Construction,OH,0,0,0.0,500,300,22018.8,Quarterly,,0,1,0.0,0,0.0,,0.0,No Claim,
POL-012862,INS-00694,2020-06-30,2020-06-03,2021-06-03,AL,11,7.8,14,48.5,5.2,598.8,Trucking,OH,0,0,0.0,500,100,12234.02,Quarterly,22.98,1,2,0.0,0,0.0,,0.0,No Claim,
POL-013296,INS-00969,2020-05-30,2020-04-02,2021-04-02,AL,10,4.8,7,46.7,10.6,116.6,trucking,PA,1,0,5947.43,250,1000,8696.28,Quarterly,70.78,1,3,0.0,0,0.0,,0.0,No Claim,
POL-001531,INS-00399,2020-04-08,2020-02-27,2021-02-26,APD,6,6.6,9,32.0,5.1,109.8,Trucking,OH,0,1,7269.54,500,500,7541.07,,99.55,1,1,1.0,1,659.67,2020-05-15,466.63,Under Review,37.0
POL-007293,INS-01845,2020-10-31,2020-08-11,2021-08-11,APD,12,7.4,7,30.7,6.9,317.0,RETAIL,NY,0,1,9072.59,2500,100,6423.39,Annual,73.11,1,1,3.0,0,0.0,,0.0,No Claim,
POL-013867,INS-00314,2020-08-29,2020-05-03,2021-05-03,AL,5,3.4,8,45.7,16.8,176.6,Trucking,CO,0,0,0.0,2500,300,7385.78,Quarterly,91.62,0,2,0.0,0,0.0,,0.0,No Claim,
POL-010872,INS-02418,2022-02-13,2022-01-20,2023-01-20,AL,4,5.0,3,39.6,1.7,80.3,Retail,GA,0,0,0.0,500,1000,16792.98,Annual,50.99,1,3,2.0,0,0.0,,0.0,No Claim,
POL-008700,INS-03572,2022-01-10,2021-11-02,2022-11-02,AL,5,2.4,5,42.3,3.7,104.4,Retail,AZ,0,0,0.0,1000,500,24991.71,Monthly,38.69,1,0,0.0,0,0.0,,0.0,No Claim,
POL-004885,INS-00570,2020-01-08,2019-08-03,2020-08-02,APD,7,3.2,7,38.0,3.3,185.3,Retail,CO,0,0,0.0,250,100,14061.36,Quarterly,59.24,0,2,0.0,0,0.0,,0.0,No Claim,
POL-006979,INS-00738,2021-11-07,2021-09-01,2022-09-01,APD,7,3.3,6,41.8,4.9,126.0,Retail,CA,0,1,1489.3,1000,1000,6866.58,Monthly,3.43,0,0,0.0,0,0.0,,0.0,No Claim,
POL-008279,INS-01527,2020-08-30,2020-04-24,2021-04-24,AL,7,4.1,7,57.3,2.9,164.1,SERVICE,TX,1,0,17473.06,5000,500,16868.17,Annual,55.92,0,1,0.0,0,0.0,,0.0,No Claim,
POL-010438,INS-03654,2020-11-05,2020-05-10,2021-05-10,AL,8,3.3,6,52.7,4.6,136.1,trucking,OH,0,0,0.0,5000,300,23373.38,Quarterly,20.54,0,4,1.0,0,0.0,,0.0,No Claim,
POL-004787,INS-00400,2021-09-06,2021-06-15,2022-06-15,APD,13,5.6,5,31.4,3.8,129.7,Trucking,CA,1,1,14504.02,250,100,12871.15,Quarterly,32.38,1,2,3.0,0,0.0,,0.0,No Claim,
POL-014131,INS-00207,2021-04-11,2020-11-22,2021-11-22,AL,5,6.6,6,21.0,2.8,63.1,Service,AZ,0,0,0.0,1000,500,6981.55,Quarterly,93.66,0,0,1.0,0,0.0,,0.0,No Claim,
POL-013836,INS-00376,2021-10-07,2021-07-24,2022-07-24,AL,7,3.1,6,43.9,14.1,76.2,Service,IL,1,0,5367.92,500,1000,7208.28,Quarterly,79.61,0,0,,0,0.0,,0.0,No Claim,
POL-010865,INS-03154,2022-11-07,2022-10-04,2023-10-04,AL,9,6.2,7,39.5,6.1,61.1,Trucking,CO,0,0,0.0,500,300,6349.12,Monthly,73.47,0,2,0.0,1,467569.77,2022-12-11,307506.73,Under Review,34.0
POL-002082,INS-02368,2020-04-10,2020-01-13,2021-01-12,APD,7,4.4,4,22.9,4.3,52.4,Retail,FL,0,1,,5000,100,22806.24,Annual,30.78,0,4,2.0,0,0.0,,0.0,No Claim,
POL-009827,INS-03101,2022-09-11,2022-07-30,2023-07-30,AL,12,11.6,1,40.4,2.8,364.6,Trucking,AZ,2,1,21045.7,1000,500,34281.26,,59.06,1,4,1.0,0,0.0,,0.0,No Claim,
POL-014497,INS-01426,2021-08-17,2021-05-10,2022-05-10,AL,7,4.5,8,35.9,4.4,189.9,Service,NY,1,0,1592.51,5000,1000,15464.02,Quarterly,22.76,1,0,2.0,0,0.0,,0.0,No Claim,
POL-005770,INS-03300,2021-08-23,2021-04-03,2022-04-03,APD,6,2.0,9,45.1,3.8,89.1,Service,IL,0,0,0.0,2500,500,6400.12,Annual,52.87,0,1,2.0,0,0.0,,0.0,No Claim,
POL-009175,INS-03061,2022-01-06,2022-01-04,2023-01-04,AL,5,2.0,7,45.9,7.4,108.5,retail,NY,0,0,0.0,500,500,12173.7,Monthly,44.92,0,0,,0,0.0,,0.0,No Claim,
POL-003943,INS-00878,2022-10-13,2022-08-15,2023-08-15,APD,5,13.8,5,26.5,10.5,182.3,Retail,GA,1,0,4966.97,2500,300,4739.93,Annual,20.81,0,1,0.0,0,0.0,,0.0,No Claim,
POL-012124,INS-02044,2020-12-05,2020-08-25,2021-08-25,AL,4,7.0,6,34.0,17.1,241.4,Service,IL,1,1,,250,300,40000.0,Quarterly,73.36,1,1,3.0,0,0.0,,0.0,No Claim,
POL-013263,INS-00618,2022-03-03,2021-10-26,2022-10-26,AL,8,6.7,4,36.6,1.0,324.0,retail,IL,1,0,20561.45,500,500,21260.56,Monthly,59.87,0,1,2.0,1,49764.36,2022-04-07,46303.51,Open,35.0
POL-001489,INS-02060,2020-05-01,2020-04-30,2021-04-30,APD,10,13.0,5,24.3,14.2,71.1,Construction,CA,2,0,23052.49,1000,100,7366.38,,76.23,1,3,1.0,0,0.0,,0.0,No Claim,
POL-007475,INS-02644,2021-06-04,2021-01-04,2022-01-04,APD,5,3.0,8,32.6,5.6,67.1,Trucking,AZ,1,2,45638.44,500,500,10456.15,Annual,69.74,1,0,2.0,0,0.0,,0.0,No Claim,
POL-008745,INS-01125,2021-06-09,2021-01-31,2022-01-31,AL,1,7.4,5,52.0,1.0,15.2,Trucking,WA,0,0,0.0,500,500,33983.42,Quarterly,51.54,1,0,0.0,0,0.0,,0.0,No Claim,
POL-004101,INS-02374,2020-04-10,2019-11-02,2020-11-01,APD,7,4.5,2,41.4,7.5,183.6,Trucking,NY,1,1,7081.03,1000,100,13611.42,Annual,8.28,1,1,1.0,0,0.0,,0.0,No Claim,
POL-010726,INS-01032,2020-01-30,2020-01-13,2021-01-12,AL,10,4.2,9,41.3,3.6,215.9,Construction,TX,1,0,12671.43,5000,300,11160.53,,79.32,1,1,,0,0.0,,0.0,No Claim,
POL-006473,INS-02682,2021-05-06,2021-04-02,2022-04-02,APD,2,9.4,3,45.5,8.0,52.9,Service,CA,0,0,0.0,500,500,3810.75,Monthly,69.28,0,0,1.0,0,0.0,,0.0,No Claim,
POL-003470,INS-01176,2022-08-06,2022-02-28,2023-02-28,APD,7,4.5,5,31.3,5.3,98.6,RETAIL,CO,0,0,0.0,5000,300,7748.65,Monthly,88.88,1,2,0.0,0,0.0,,0.0,No Claim,
POL-003071,INS-01801,2021-04-07,2020-11-18,2021-11-18,APD,4,3.3,5,33.2,7.6,96.4,Service,TX,0,0,0.0,2500,300,25000.0,Monthly,22.69,0,1,0.0,0,0.0,,0.0,No Claim,
POL-005020,INS-02938,2021-12-04,2021-10-21,2022-10-21,APD,8,6.9,5,53.2,3.1,257.9,RETAIL,FL,0,0,0.0,250,300,6238.95,Monthly,68.93,1,1,0.0,0,0.0,,0.0,No Claim,
POL-008060,INS-01761,2020-03-19,2019-10-19,2020-10-18,AL,10,4.1,8,24.2,7.8,205.8,Retail,FL,0,0,0.0,5000,300,21258.42,Annual,11.98,0,1,,0,0.0,,0.0,No Claim,
POL-010244,INS-00385,2020-05-06,2020-03-19,2021-03-19,AL,5,8.6,7,46.2,9.8,116.9,Trucking,FL,0,0,0.0,500,500,13956.1,Monthly,74.65,1,1,,0,0.0,,0.0,No Claim,
POL-011574,INS-03031,2020-07-28,2020-05-05,2021-05-05,AL,8,5.9,5,30.2,3.8,119.6,Other,FL,1,1,17100.84,250,1000,3935.53,Quarterly,12.98,0,0,1.0,0,0.0,,0.0,No Claim,
POL-006246,INS-00385,2020-12-28,2020-10-11,2021-10-11,APD,6,4.4,7,26.4,1.0,108.5,retail,NY,0,1,25357.36,250,500,6946.07,Annual,3.72,0,0,2.0,0,0.0,,0.0,No Claim,
POL-006546,INS-00479,2021-12-03,2021-10-04,2022-10-04,APD,8,6.3,5,34.6,4.8,215.0,trucking,TX,0,0,0.0,2500,500,4242.61,Annual,15.86,0,1,2.0,0,0.0,,0.0,No Claim,
POL-011555,INS-00887,2021-05-26,2021-03-20,2022-03-20,AL,10,3.7,6,47.1,7.7,101.2,Trucking,TX,0,1,3586.44,5000,500,27589.8,Annual,92.94,1,2,1.0,2,1212253.3,2021-07-13,755421.76,Closed,48.0
POL-009442,INS-02359,2021-04-20,2021-03-26,2022-03-26,AL,4,4.8,14,40.7,1.0,110.5,retail,IL,2,0,6113.32,500,500,12885.8,Quarterly,90.24,0,1,0.0,0,0.0,,0.0,No Claim,
POL-003949,INS-01930,2022-11-28,2022-06-02,2023-06-02,APD,2,7.2,1,36.0,13.0,74.7,service,NY,0,0,0.0,2500,1000,7984.8,Annual,96.84,0,0,1.0,0,0.0,,0.0,No Claim,
POL-014705,INS-03174,2022-04-07,2022-01-31,2023-01-31,AL,10,6.3,7,32.7,1.0,251.6,construction,AZ,0,0,0.0,250,500,13155.92,Monthly,54.67,1,3,0.0,0,0.0,,0.0,No Claim,
POL-006555,INS-01652,2021-03-31,2021-03-17,2022-03-17,APD,4,0.0,4,42.6,1.0,145.5,Service,CA,0,0,0.0,500,300,14553.88,Annual,10.16,1,1,0.0,0,0.0,,0.0,No Claim,
POL-010426,INS-03373,2021-08-06,2021-03-12,2022-03-12,AL,6,6.3,3,34.8,4.4,95.4,TRUCKING,IL,0,0,0.0,250,1000,4340.63,Annual,36.03,1,1,1.0,0,0.0,,0.0,No Claim,
POL-014344,INS-02394,2022-08-03,2022-02-19,2023-02-19,AL,12,2.7,12,33.9,7.3,168.4,Construction,CO,0,0,0.0,250,500,32930.86,Monthly,25.84,0,2,0.0,0,0.0,,0.0,No Claim,
POL-003102,INS-02917,2020-05-23,2020-02-14,2021-02-13,APD,6,3.7,10,45.5,11.2,81.8,Retail,WA,0,0,0.0,500,100,10753.4,Monthly,,1,0,0.0,0,0.0,,0.0,No Claim,
POL-007535,INS-00975,2021-02-04,2020-10-28,2021-10-28,AL,9,2.4,13,41.9,7.0,668.3,Construction,CA,0,0,0.0,5000,500,19365.63,Annual,31.75,1,4,1.0,0,0.0,,0.0,No Claim,
POL-008230,INS-03540,2021-05-29,2021-04-14,2022-04-14,AL,5,2.0,11,41.7,1.0,111.6,Trucking,CA,0,1,35721.22,1000,300,21193.21,Quarterly,30.55,1,2,1.0,0,0.0,,0.0,No Claim,
POL-003718,INS-02878,2020-10-01,2020-07-16,2021-07-16,APD,8,7.4,1,34.4,5.9,220.2,Trucking,FL,0,3,15244.15,5000,300,8051.43,Quarterly,66.17,0,3,0.0,0,0.0,,0.0,No Claim,
POL-002681,INS-01486,2020-05-08,2019-12-13,2020-12-12,APD,11,3.8,3,58.3,1.0,361.7,Retail,CA,1,0,3729.44,2500,100,3885.04,Annual,78.76,1,1,0.0,0,0.0,,0.0,No Claim,
POL-004281,INS-00538,2021-06-08,2021-05-18,2022-05-18,APD,9,7.0,4,48.0,14.5,264.5,Trucking,CA,1,1,5958.25,2500,1000,12545.74,Annual,72.31,0,2,,0,0.0,,0.0,No Claim,
POL-008405,INS-02883,2022-11-13,2022-10-05,2023-10-05,AL,13,8.7,6,31.8,8.8,146.4,Construction,OH,0,1,21034.08,1000,300,9614.54,Quarterly,,0,2,0.0,0,0.0,,0.0,No Claim,
POL-000004,INS-01646,2021-04-25,2021-01-23,2022-01-23,APD,4,4.3,10,53.8,1.0,33.4,Construction,AZ,0,0,0.0,250,1000,9042.69,Monthly,58.02,1,2,0.0,0,0.0,,0.0,No Claim,
POL-014255,INS-02084,2020-10-26,2020-06-03,2021-06-03,AL,8,7.5,3,40.1,18.5,183.3,service,OH,0,1,4972.8,1000,1000,11270.41,Monthly,53.76,0,2,1.0,0,0.0,,0.0,No Claim,
POL-011873,INS-03461,2021-12-13,2021-10-25,2022-10-25,AL,11,7.2,7,38.1,1.0,69.4,Retail,TX,0,1,44307.07,250,500,7823.91,Annual,55.92,1,2,1.0,0,0.0,,0.0,No Claim,
POL-004794,INS-00370,2020-10-09,2020-05-23,2021-05-23,APD,5,9.2,5,50.7,4.1,103.1,Trucking,FL,0,0,0.0,1000,100,10651.13,Monthly,32.25,0,1,,0,0.0,,0.0,No Claim,
POL-012229,INS-03394,2020-01-10,2019-09-14,2020-09-13,AL,5,1.2,9,57.5,3.1,77.8,Construction,FL,0,0,0.0,250,1000,14965.37,Quarterly,0.54,0,1,0.0,0,0.0,,0.0,No Claim,
POL-003059,INS-00190,2021-03-02,2020-11-20,2021-11-20,APD,7,4.5,6,,9.3,119.1,Service,GA,1,0,8696.06,500,300,7198.88,Annual,50.94,0,2,2.0,0,0.0,,0.0,No Claim,
POL-011808,INS-01457,2022-08-26,2022-08-13,2023-08-13,AL,3,2.9,10,45.0,10.2,98.6,Retail,CO,0,0,0.0,5000,500,5300.5,Quarterly,91.17,1,0,0.0,0,0.0,,0.0,No Claim,
POL-014763,INS-00023,2020-10-04,2020-06-06,2021-06-06,AL,6,6.1,4,28.2,5.0,156.8,Trucking,NY,1,0,16998.76,2500,300,16120.11,Annual,24.98,0,3,3.0,0,0.0,,0.0,No Claim,
POL-005082,INS-03604,2021-07-09,2021-03-02,2022-03-02,APD,16,5.5,7,46.8,1.2,756.1,service,CA,1,0,4664.83,2500,500,6797.54,Quarterly,,1,3,2.0,0,0.0,,0.0,No Claim,
POL-000961,INS-02461,2020-06-17,2020-02-04,2021-02-03,APD,9,0.9,8,25.0,5.4,129.2,Retail,WA,0,1,6260.97,1000,100,7600.3,Quarterly,39.53,1,3,1.0,0,0.0,,0.0,No Claim,
POL-012241,INS-00400,2022-10-04,2022-06-10,2023-06-10,AL,3,6.3,6,21.0,11.6,124.4,Retail,TX,0,0,0.0,5000,1000,27151.96,Monthly,31.6,0,1,0.0,0,0.0,,0.0,No Claim,
POL-007407,INS-02009,2022-12-16,2022-11-28,2023-11-28,APD,3,9.2,9,37.5,2.7,41.1,Construction,WA,0,1,,2500,300,13448.43,Quarterly,43.92,0,1,0.0,0,0.0,,0.0,No Claim,
POL-011163,INS-03182,2022-02-07,2022-01-28,2023-01-28,AL,9,9.8,9,36.7,9.2,345.8,Other,FL,0,1,13094.63,1000,300,7898.99,Monthly,74.43,0,2,1.0,0,0.0,,0.0,No Claim,
POL-009640,INS-00623,2022-06-11,2022-03-29,2023-03-29,AL,4,5.5,3,50.7,8.0,67.4,Trucking,TX,1,0,2769.17,500,500,25782.91,Monthly,9.84,0,1,0.0,0,0.0,,0.0,No Claim,
POL-012771,INS-00178,2021-12-29,2021-09-23,2022-09-23,AL,8,2.3,6,28.2,11.3,341.6,Trucking,IL,3,0,25545.49,2500,100,6123.33,Annual,38.04,0,2,,0,0.0,,0.0,No Claim,
POL-013860,INS-03628,2021-11-06,2021-07-18,2022-07-18,AL,3,7.6,7,40.8,9.3,34.9,Construction,GA,0,0,0.0,2500,500,11078.09,Annual,62.29,0,2,1.0,0,0.0,,0.0,No Claim,
POL-014846,INS-00970,2022-05-03,2022-01-28,2023-01-28,AL,3,6.0,6,58.9,6.0,54.3,construction,TX,0,0,0.0,5000,500,29160.74,Annual,17.36,0,0,3.0,0,0.0,,0.0,No Claim,
POL-013257,INS-01197,2020-12-07,2020-11-12,2021-11-12,AL,7,7.6,4,52.1,1.1,78.2,Construction,NC,0,0,0.0,250,500,16171.28,Quarterly,99.07,0,1,0.0,0,0.0,,0.0,No Claim,
